Trial,Tank,ColorID,SnailDensity,AggregationIndex,Length,Count
2,15,B,13,1,14,3
2,15,G,13,1,12.3,0
2,15,GB,13,1,15,0
2,15,GP,13,1,13.5,0
2,15,P,13,1,10.7,0
2,15,PB,13,1,16.7,1
2,15,R,13,1,11.8,0
2,15,RB,13,1,17.1,0
2,15,RG,13,1,12,1
2,15,RP,13,1,15.2,3
2,15,RY,13,1,15.6,0
2,15,Y,13,1,14.9,1
2,15,YB,13,1,17.2,1
2,16,B,16,1,13.8,12
2,16,C,16,1,13.8,0
2,16,G,16,1,12.3,2
2,16,GB,16,1,13.6,0
2,16,GP,16,1,11.5,0
2,16,P,16,1,13.8,0
2,16,PB,16,1,17.6,2
2,16,R,16,1,14.8,9
2,16,RB,16,1,15,0
2,16,RG,16,1,14.9,0
2,16,RP,16,1,17.2,7
2,16,RY,16,1,14.2,0
2,16,Y,16,1,13.6,0
2,16,YB,16,1,14.5,0
2,16,YG,16,1,13.7,0
2,16,YP,16,1,15.6,0
2,17,B,2,2,13,0
2,17,R,2,2,13.5,0
2,18,B,4,2,14.1,0
2,18,G,4,2,15.3,0
2,18,P,4,2,12.5,0
2,18,R,4,2,13.4,0
2,19,B,6,2,13,0
2,19,G,6,2,14.2,0
2,19,P,6,2,12.6,0
2,19,R,6,2,13.7,0
2,19,RB,6,2,13.6,0
2,19,Y,6,2,14.5,0
2,20,B,8,4,13.7,0
2,20,G,8,4,15.4,2
2,20,P,8,4,14.9,2
2,20,R,8,4,16.8,0
2,20,RB,8,4,13.9,0
2,20,RG,8,4,14,0
2,20,RP,8,4,16.4,0
2,20,Y,8,4,15.8,0
2,21,B,10,2,14.4,1
2,21,G,10,2,14.3,1
2,21,P,10,2,15.8,1
2,21,PB,10,2,17.1,0
2,21,R,10,2,15.5,0
2,21,RB,10,2,13,0
2,21,RG,10,2,12.2,0
2,21,RP,10,2,14.9,1
2,21,RY,10,2,18,0
2,21,Y,10,2,13,0
2,22,B,11,2,14.3,6
2,22,G,11,2,15.7,2
2,22,GB,11,2,13.6,0
2,22,P,11,2,13,3
2,22,PB,11,2,14.6,1
2,22,R,11,2,15,3
2,22,RB,11,2,13.4,1
2,22,RG,11,2,11.6,0
2,22,RY,11,2,14.2,0
2,22,Y,11,2,15.2,2
2,22,YB,11,2,15.4,0
2,23,B,13,2,13.4,0
2,23,GB,13,2,14.7,4
2,23,GP,13,2,11.1,0
2,23,P,13,2,11,0
2,23,PB,13,2,16.9,0
2,23,R,13,2,11.7,0
2,23,RB,13,2,14.2,0
2,23,RG,13,2,15.6,0
2,23,RP,13,2,17.9,0
2,23,RY,13,2,13.5,4
2,23,Y,13,2,13.8,0
2,23,YB,13,2,14.5,0
2,23,YP,13,2,13.3,0
2,24,B,16,2,18.3,0
2,24,C,16,2,15,0
2,24,G,16,2,15.7,7
2,24,GB,16,2,14,0
2,24,GP,16,2,14.3,0
2,24,P,16,2,15.2,3
2,24,PB,16,2,16,0
2,24,R,16,2,14.5,0
2,24,RB,16,2,17.1,0
2,24,RG,16,2,NA,0
2,24,RP,16,2,15.1,0
2,24,RY,16,2,15.1,7
2,24,Y,16,2,14.4,0
2,24,YB,16,2,12.5,0
2,24,YG,16,2,16.7,0
2,24,YP,16,2,17.4,3
2,25,B,2,3,14.8,2
2,25,R,2,3,13.8,2
2,26,B,4,3,15.8,0
2,26,G,4,3,16.6,0
2,26,P,4,3,15.2,0
2,26,R,4,3,12.3,0
2,27,B,6,3,14.4,0
2,27,G,6,3,13.2,0
2,27,P,6,3,16.3,0
2,27,R,6,3,14,0
2,27,RB,6,3,16.6,0
2,27,Y,6,3,15.9,0
2,28,B,8,3,11.8,0
2,28,G,8,3,15.3,0
2,28,P,8,3,14.9,0
2,28,R,8,3,18.7,0
2,28,RB,8,3,12.5,0
2,28,RG,8,3,14.6,0
2,28,RP,8,3,17.8,0
2,28,Y,8,3,14.7,0
2,29,B,10,3,14.4,2
2,29,G,10,3,16.1,0
2,29,P,10,3,16.6,0
2,29,PB,10,3,13.9,4
2,29,R,10,3,14.4,0
2,29,RB,10,3,14.3,0
2,29,RG,10,3,12.4,2
2,29,RP,10,3,16.6,0
2,29,RY,10,3,15.2,4
2,29,Y,10,3,15.2,0
2,30,B,12,3,17.4,0
2,30,G,12,3,15.1,0
2,30,GB,12,3,16.3,0
2,30,P,12,3,14.8,0
2,30,PB,12,3,14.9,0
2,30,R,12,3,17.1,10
2,30,RB,12,3,12.7,0
2,30,RG,12,3,17.6,0
2,30,RP,12,3,14.4,1
2,30,RY,12,3,12.7,0
2,30,Y,12,3,15.6,10
2,30,YB,12,3,12.3,1
2,31,B,14,3,13.7,0
2,31,G,14,3,17.2,0
2,31,GB,14,3,12.7,0
2,31,GP,14,3,12.3,0
2,31,P,14,3,16.3,5
2,31,PB,14,3,16.6,0
2,31,R,14,3,18.8,0
2,31,RB,14,3,15.2,0
2,31,RG,14,3,16.1,0
2,31,RP,14,3,13.5,0
2,31,RY,14,3,14.9,4
2,31,Y,14,3,14.4,5
2,31,YB,14,3,13.7,0
2,31,YP,14,3,14.2,0
2,32,B,16,3,13.7,1
2,32,C,16,3,12.2,1
2,32,G,16,3,15.9,0
2,32,GB,16,3,11,0
2,32,GP,16,3,15.3,0
2,32,P,16,3,16.4,0
2,32,PB,16,3,14.5,0
2,32,R,16,3,15.6,2
2,32,RB,16,3,14.6,0
2,32,RG,16,3,15.1,0
2,32,RP,16,3,14.8,0
2,32,RY,16,3,15.5,0
2,32,Y,16,3,11.8,0
2,32,YB,16,3,13.5,0
2,32,YG,16,3,13.2,2
2,32,YP,16,3,13.4,0
2,33,B,2,4,12.6,0
2,33,R,2,4,17.6,0
2,34,B,4,4,12.1,0
2,34,G,4,4,15.2,0
2,34,P,4,4,12.7,0
2,34,R,4,4,16.9,0
2,35,B,6,4,16.7,0
2,35,G,6,4,16.8,0
2,35,P,6,4,16.8,0
2,35,R,6,4,15,0
2,35,RB,6,4,15.6,0
2,35,Y,6,4,16.8,0
2,36,B,8,2,16.1,2
2,36,G,8,2,13.5,0
2,36,P,8,2,15.1,0
2,36,R,8,2,15.5,0
2,36,RB,8,2,14.1,0
2,36,RG,8,2,14.4,0
2,36,RP,8,2,14,2
2,36,Y,8,2,15,0
2,37,B,9,4,11.2,0
2,37,G,9,4,12.2,0
2,37,P,9,4,12.6,0
2,37,PB,9,4,15.2,0
2,37,RB,9,4,14,0
2,37,RG,9,4,15.5,0
2,37,RP,9,4,13.7,0
2,37,RY,9,4,16.2,0
2,37,Y,9,4,16.9,0
2,38,B,12,4,17.2,0
2,38,G,12,4,21.1,0
2,38,GB,12,4,14.7,0
2,38,P,12,4,14.3,0
2,38,PB,12,4,11.7,0
2,38,R,12,4,18.9,0
2,38,RB,12,4,17,0
2,38,RG,12,4,13.3,0
2,38,RP,12,4,14.9,0
2,38,RY,12,4,14.7,0
2,38,Y,12,4,12.5,0
2,38,YB,12,4,14.2,0
2,39,B,14,4,12.7,0
2,39,G,14,4,12.2,0
2,39,GB,14,4,14.4,0
2,39,GP,14,4,18.7,0
2,39,P,14,4,16.4,1
2,39,PB,14,4,13,0
2,39,R,14,4,13.8,0
2,39,RB,14,4,14.6,0
2,39,RG,14,4,14.6,1
2,39,RP,14,4,15.5,2
2,39,RY,14,4,15.3,1
2,39,Y,14,4,16.7,1
2,39,YB,14,4,10.4,0
2,39,YP,14,4,13.8,0
2,40,B,16,4,16.2,0
2,40,C,16,4,13.7,0
2,40,G,16,4,13.6,0
2,40,GB,16,4,13.1,0
2,40,GP,16,4,12.5,0
2,40,P,16,4,11.9,0
2,40,PB,16,4,15.9,1
2,40,R,16,4,16.8,0
2,40,RB,16,4,13.3,0
2,40,RG,16,4,13.7,0
2,40,RP,16,4,16.2,0
